kata_kotor
Kebijakan privasi
Kenthir = gila
Kirik = anak anjing
Kirim Tulisan
Kode Etik
Koleksi Pilihan
Konten Menarik
Kopet = sisa kotoran
Kost Bandung Murah
Kost Bekasi Murah
Kost Denpasar Bali Murah
Kost Jogja MurahKost Jakarta Murah
Kost Malang Murah
Kost Medan Murah
Kost Semarang Murah
Kost Solo Murah
Kost Surabaya Murah
Kotak Pos
Kuliner
Lambemu = mulutmu
Leksikon bahasa Indonesia menurut penggunaan
Lihat URL pendek
Lihat riwayat
Liputan6
Live TV
Loading...
Masuk log
Matamu/Matane = matanya
Mbacot = berbicara menggunakan moncong
Mbahmu = kakek/nenekmu
Mbladhog = makan dengan lahap
Media Partner
Menyumbang
Merdeka
Minggat = pergi
Mripatmu = matamu
Ndase/Ndasmu = kepalamu
Negro
News
Nggapleki = menjengkelkan
Nggateli = menyebalkan
Ngglogok = menuang semuanya
Ngurek = mati
Nusra
Pasang Mata
Pedoman Media Siber
Pembagian Bahasa Lemes
Pembicaraan
Pembicaraan:pecundang
Pengembang
Penyangkalan
Perek = pelacur
Pernyataan kuki
Perubahan terbaru
Perubahan terkait
Picek = buta
Pranala balik
Pranala permanen
Privacy Policy
Raimu = wajahmu
Redaksi
Rukita Stories
SCROLL TO CONTINUE WITH CONTENT
Sepakbola
ShowBiz
Signature Awards
Sorot Jabar
Statistik
Sumut Bercahaya
Sunting
Sutang/Cutang = kaki
Switch to legacy parser
TV
Tampilan seluler
Tekno
Telek = tahi
Templat:kasar
Tentang Wikikamus
Terpopuler
Tips & Lifestyle
Trans Hotel GroupNEW
Trans Snow World
Trans Studio
Unduh Wikikamus
Unduh kode QR
Unduh versi PDF
Unggah berkas
Untumu = gigimu
Versi cetak
Video
Warung Kopi
Wedhus = kambing
Wisata
Wolipop
Yuk cari Hunianuntukmu sekarang!
Ziswafctarsa.id
abus
adsmart
anak ampang
anak jadah
anak kolong
anak lonté
anak soendel
anak sundal
anak zadah
andjing
anjay
anjing
asoe
babi
bajingan
bala
berbuatbaik.id
berjantan
berkirai
bermoncong
bermulut
bermulut-mulut
bersentuh
bertaruk
bincacak
buncit
butuh
celaka
coli
cukimai
cungur
detikBali
detikEdu
detikEdukasi
detikEvent
detikFinance
detikFood
detikFoto
detikHealth
detikHikmah
detikHot
detikInet
detikJabar
detikJateng
detikJatim
detikJogja
detikKalimantanNEW
detikNews
detikOto
detikPop
detikProperti
detikSport
detikSulsel
detikSumbagsel
detikSumut
detikTravel
detikX
detikcom
dongok
fuck
gathel
geblek
gegares
geladak
gelayaran
gendut
goblok
haram jadah
haram zadah
itil
janco
jancuk
jangkang
jijay
joh
kata kasar
kebutuhan
keparat
koit
kojor
kontol
kunyuk
laki
lonte
mampus
membuta
memek
mencekik
mencengam
mengamput
mengancuk
mengayut
mengencingi
mengentot
menggelontor
menggorok
menongkrongi
menyekang perut
menyengam
merodok
minggat
modar
monyong
mulut-mulutan
nahli dl sastra(nomina)sumber: kbbi3
ngewe
ongok
pangkabala
pantek
pecundang
penyakit
penyekang
pepek
pukas
puki
segala
semburit
shit
sial
sialan
tembolok
tempik
terjengkang
tiga serangkai
tobrut
toket
tongkrongan
ziswafctarsa.id
©2025 Rukita. All rights reserved.
